自治体,人口,経度,緯度
空知,272,141.7664515,43.1977582
石狩,2381,141.3460424,43.06467208
後志,194,140.7565776,42.9022126
胆振,374,140.9722086,42.32058383
日高,62,142.768914,42.17277116
渡島,373,140.7534277,41.81989711
檜山,33,140.1290363,41.85959538
上川,473,142.4396697,43.8078625
留萌,42,141.6565846,43.93484693
宗谷,59,141.7014781,45.39764538
オホーツク,266,144.2610225,44.0263897
十勝,329,143.2083071,42.92984687
釧路,217,144.3848855,42.97670572
根室,70,145.5848039,43.33056918
青森県,1278,140.74,40.82444444
岩手県,1255,141.1527778,39.70361111
宮城県,2323,140.8722222,38.26888889
秋田県,996,140.1025,39.71861111
山形県,1102,140.3633333,38.24055556
福島県,1882,140.4677778,37.75
茨城県,2892,140.4469444,36.34166667
栃木県,1957,139.8836111,36.56583333
群馬県,1960,139.0608333,36.39111111
埼玉県,7310,139.6488889,35.85694444
千葉県,6246,140.1230556,35.60444444
東京都,13724,139.6916667,35.68944444
神奈川県,9159,139.6425,35.44777778
新潟県,2267,139.0233333,37.9025
富山県,1056,137.2113889,36.69527778
石川県,1147,136.6255556,36.59472222
福井県,779,136.2216667,36.06527778
山梨県,823,138.5683333,35.66388889
長野県,2076,138.1808333,36.65138889
岐阜県,2008,136.7222222,35.39111111
静岡県,3675,138.3830556,34.97694444
愛知県,7525,136.9066667,35.18027778
三重県,1800,136.5086111,34.73027778
滋賀県,1413,135.8683333,35.00444444
京都府,2599,135.7555556,35.02111111
大阪府,8823,135.52,34.68638889
兵庫県,5503,135.1830556,34.69138889
奈良県,1348,135.8327778,34.68527778
和歌山県,945,135.1675,34.22611111
鳥取県,565,134.2383333,35.50333333
島根県,685,133.0505556,35.47222222
岡山県,1907,133.935,34.66166667
広島県,2829,132.4597222,34.39666667
山口県,1383,131.4713889,34.18583333
徳島県,743,134.5594444,34.06583333
香川県,967,134.0433333,34.34
愛媛県,1364,132.7661111,33.84166667
高知県,714,133.5311111,33.55972222
福岡県,5107,130.4180556,33.60638889
佐賀県,824,130.2991667,33.24944444
長崎県,1354,129.8672222,32.75
熊本県,1765,130.7416667,32.78972222
大分県,1152,131.6125,33.23805556
宮崎県,1089,131.4238889,31.91111111
鹿児島県,1626,130.5580556,31.56027778
