自治体,人口,経度,緯度
札幌市,1973395,141.354374,43.061972
函館市,251084,140.729108,41.768712
小樽市,111299,140.994605,43.190753
旭川市,329306,142.364798,43.770799
室蘭市,82383,140.973784,42.315204
釧路市,165077,144.38167,42.984856
帯広市,166536,143.196195,42.924014
北見市,115480,143.894925,43.803197
夕張市,7334,141.974069,43.056814
岩見沢市,79306,141.775355,43.196028
網走市,35759,144.273422,44.020631
留萌市,20114,141.637009,43.940987
苫小牧市,170113,141.605503,42.634094
稚内市,33563,141.673082,45.415675
美唄市,20413,141.853986,43.332951
芦別市,12555,142.189552,43.51821
江別市,121056,141.536103,43.103666
赤平市,9698,142.044223,43.558039
紋別市,21215,143.354279,44.356332
士別市,17858,142.400927,44.178182
名寄市,27282,142.463134,44.355924
三笠市,8040,141.875342,43.245622
根室市,24636,145.582903,43.330036
千歳市,97950,141.651139,42.821124
滝川市,39490,141.910371,43.557753
砂川市,16486,141.902525,43.494329
歌志内市,2989,142.035353,43.521682
深川市,20039,142.053528,43.723184
富良野市,21131,142.383405,43.342354
登別市,46391,141.106556,42.412735
恵庭市,70331,141.577799,42.882592
伊達市,32826,140.864702,42.471898
北広島市,58171,141.563625,42.985663
石狩市,56869,141.315514,43.171365
北斗市,44302,140.653067,41.824174
当別町,15916,141.517003,43.223637
新篠津村,3044,141.649247,43.225368
松前町,6260,140.110403,41.429981
福島町,3794,140.251315,41.483783
知内町,4167,140.418861,41.598377
木古内町,3832,140.437635,41.678332
七飯町,27686,140.694405,41.895711
鹿部町,3760,140.831672,42.026639
森町,14338,140.576446,42.104992
八雲町,15826,140.265224,42.255918
長万部町,5109,140.380344,42.513488
江差町,7428,140.12756,41.869244
上ノ国町,4306,140.121398,41.801042
厚沢部町,3592,140.225475,41.920895
乙部町,3403,140.13546,41.968504
奥尻町,2410,139.514121,42.17226
今金町,5072,140.008766,42.429373
せたな町,7398,139.882999,42.417145
島牧村,1356,140.061454,42.700471
寿都町,2838,140.228891,42.790984
黒松内町,2791,140.307739,42.667788
蘭越町,4568,140.528346,42.809205
ニセコ町,5074,140.687991,42.805029
真狩村,2045,140.803669,42.762955
留寿都村,1911,140.875574,42.737263
喜茂別町,2156,140.934532,42.795439
京極町,2941,140.883999,42.858216
倶知安町,15129,140.759012,42.901458
共和町,5772,140.611175,42.980407
岩内町,11648,140.514773,42.979761
泊村,1569,140.498857,43.063212
神恵内村,870,140.430801,43.143365
積丹町,1831,140.598001,43.29871
古平町,2745,140.639078,43.265353
仁木町,3180,140.766168,43.151675
余市町,18000,140.783542,43.195343
赤井川村,1165,140.81364,43.083479
南幌町,7319,141.65033,43.063739
奈井江町,5120,141.882816,43.425353
上砂川町,2841,141.984202,43.48271
由仁町,4822,141.790309,42.999598
長沼町,10289,141.695367,43.01034
栗山町,11272,141.784099,43.05629
月形町,3691,141.669604,43.338397
浦臼町,1732,141.818727,43.430363
新十津川町,6484,141.877126,43.548781
妹背牛町,2693,141.961606,43.700093
秩父別町,2329,141.957896,43.767
雨竜町,2389,141.889036,43.643943
北竜町,1724,141.879409,43.731426
沼田町,2909,141.933817,43.80674
鷹栖町,6567,142.354382,43.843321
東神楽町,10127,142.451571,43.696303
当麻町,6319,142.508388,43.828201
比布町,3520,142.477699,43.875021
愛別町,2605,142.577822,43.906679
