jiscode,自治体,住所,緯度,経度,人口
1100,札幌市,札幌市中央区北1条西2丁目,43.061972,141.354374,1973395 
1202,函館市,函館市東雲町4-13,41.768712,140.729108,251084 
1203,小樽市,小樽市花園2-12-1,43.190753,140.994605,111299 
1204,旭川市,旭川市6条通9丁目,43.770799,142.364798,329306 
1205,室蘭市,室蘭市幸町1-2,42.315204,140.973784,82383 
1206,釧路市,釧路市黒金町7-5,42.984856,144.38167,165077 
1207,帯広市,帯広市西5条南7-1,42.924014,143.196195,166536 
1208,北見市,北見市大通西3丁目1番地1,43.803197,143.894925,115480 
1209,夕張市,夕張市本町4-2,43.056814,141.974069,7334 
1210,岩見沢市,岩見沢市鳩が丘1-1-1,43.196028,141.775355,79306 
1211,網走市,網走市南6条東4丁目,44.020631,144.273422,35759 
1212,留萌市,留萌市幸町1-11,43.940987,141.637009,20114 
1213,苫小牧市,苫小牧市旭町4-5-6,42.634094,141.605503,170113 
1214,稚内市,稚内市中央3-13-15,45.415675,141.673082,33563 
1215,美唄市,美唄市西3条南1-1-1,43.332951,141.853986,20413 
1216,芦別市,芦別市北1条東1-3,43.51821,142.189552,12555 
1217,江別市,江別市高砂町6,43.103666,141.536103,121056 
1218,赤平市,赤平市泉町4-1,43.558039,142.044223,9698 
1219,紋別市,紋別市幸町2-1-18,44.356332,143.354279,21215 
1220,士別市,士別市東6条4-1,44.178182,142.400927,17858 
1221,名寄市,名寄市大通南1-1,44.355924,142.463134,27282 
1222,三笠市,三笠市幸町2,43.245622,141.875342,8040 
1223,根室市,根室市常盤町2-27,43.330036,145.582903,24636 
1224,千歳市,千歳市東雲町2-34,42.821124,141.651139,97950 
1225,滝川市,滝川市大町1-2-15,43.557753,141.910371,39490 
1226,砂川市,砂川市西6条北2丁目1-1,43.494329,141.902525,16486 
1227,歌志内市,歌志内市字本町5,43.521682,142.035353,2989 
1228,深川市,深川市2条17-17,43.723184,142.053528,20039 
1229,富良野市,富良野市弥生町1-1,43.342354,142.383405,21131 
1230,登別市,登別市中央町6-11,42.412735,141.106556,46391 
1231,恵庭市,恵庭市京町1,42.882592,141.577799,70331 
1233,伊達市,伊達市鹿島町20-1,42.471898,140.864702,32826 
1234,北広島市,北広島市中央4-2-1,42.985663,141.563625,58171 
1235,石狩市,石狩市花川北6条1-30-2,43.171365,141.315514,56869 
1236,北斗市,北斗市中央1-3-10,41.824174,140.653067,44302 
1303,当別町,石狩郡当別町白樺町58-9,43.223637,141.517003,15916 
1304,新篠津村,石狩郡新篠津村第47線北13,43.225368,141.649247,3044 
1331,松前町,松前郡松前町字福山248番地1,41.429981,140.110403,6260 
1332,福島町,松前郡福島町字福島820,41.483783,140.251315,3794 
1333,知内町,上磯郡知内町字重内21-1,41.598377,140.418861,4167 
1334,木古内町,上磯郡木古内町字本町218,41.678332,140.437635,3832 
1337,七飯町,亀田郡七飯町本町6丁目1-1,41.895711,140.694405,27686 
1343,鹿部町,茅部郡鹿部町字鹿部252-1,42.026639,140.831672,3760 
1345,森町,茅部郡森町字御幸町144-1,42.104992,140.576446,14338 
1346,八雲町,二海郡八雲町住初町138,42.255918,140.265224,15826 
1347,長万部町,山越郡長万部町字長万部453-1,42.513488,140.380344,5109 
1361,江差町,檜山郡江差町字中歌町193-1,41.869244,140.12756,7428 
1362,上ノ国町,檜山郡上ノ国町字大留100,41.801042,140.121398,4306 
1363,厚沢部町,檜山郡厚沢部町新町207,41.920895,140.225475,3592 
1364,乙部町,爾志郡乙部町字緑町388,41.968504,140.13546,3403 
1367,奥尻町,奥尻郡奥尻町字奥尻806,42.17226,139.514121,2410 
1370,今金町,瀬棚郡今金町字今金48-1,42.429373,140.008766,5072 
1371,せたな町,久遠郡せたな町北檜山区徳島63-1,42.417145,139.882999,7398 
1391,島牧村,島牧郡島牧村字泊83-1,42.700471,140.061454,1356 
1392,寿都町,寿都郡寿都町字渡島町140-1,42.790984,140.228891,2838 
1393,黒松内町,寿都郡黒松内町字黒松内302-1,42.667788,140.307739,2791 
1394,蘭越町,磯谷郡蘭越町蘭越町258-5,42.809205,140.528346,4568 
1395,ニセコ町,虻田郡ニセコ町字富士見55番地,42.805029,140.687991,5074 
1396,真狩村,虻田郡真狩村字真狩118,42.762955,140.803669,2045 
1397,留寿都村,虻田郡留寿都村字留寿都175,42.737263,140.875574,1911 
1398,喜茂別町,虻田郡喜茂別町字喜茂別123,42.795439,140.934532,2156 
1399,京極町,虻田郡京極町字京極527,42.858216,140.883999,2941 
1400,倶知安町,虻田郡倶知安町北1条東3-3,42.901458,140.759012,15129 
1401,共和町,岩内郡共和町南幌似38-2,42.980407,140.611175,5772 
1402,岩内町,岩内郡岩内町字高台134-1,42.979761,140.514773,11648 
1403,泊村,古宇郡泊村大字茅沼村字臼別191-7,43.063212,140.498857,1569 
1404,神恵内村,古宇郡神恵内村大字神恵内村81-20,43.143365,140.430801,870 
1405,積丹町,積丹郡積丹町大字美国町字船澗48-5,43.29871,140.598001,1831 
1406,古平町,古平郡古平町大字浜町50番地,43.265353,140.639078,2745 
1407,仁木町,余市郡仁木町西町1-36-1,43.151675,140.766168,3180 
1408,余市町,余市郡余市町朝日町26,43.195343,140.783542,18000 
1409,赤井川村,余市郡赤井川村字赤井川74-2,43.083479,140.81364,1165 
1423,南幌町,空知郡南幌町栄町3-2-1,43.063739,141.65033,7319 
1424,奈井江町,空知郡奈井江町字奈井江11,43.425353,141.882816,5120 
1425,上砂川町,空知郡上砂川町中央北1条5丁目1番7号,43.48271,141.984202,2841 
1427,由仁町,夕張郡由仁町新光200,42.999598,141.790309,4822 
1428,長沼町,夕張郡長沼町中央北1-1-1,43.01034,141.695367,10289 
1429,栗山町,夕張郡栗山町松風3-252,43.05629,141.784099,11272 
1430,月形町,樺戸郡月形町1219,43.338397,141.669604,3691 
1431,浦臼町,樺戸郡浦臼町字ウラウスナイ183-15,43.430363,141.818727,1732 
1432,新十津川町,樺戸郡新十津川町字中央301-1,43.548781,141.877126,6484 
1433,妹背牛町,雨竜郡妹背牛町字妹背牛5200,43.700093,141.961606,2693 
1434,秩父別町,雨竜郡秩父別町4101,43.767,141.957896,2329 
1436,雨竜町,雨竜郡雨竜町字フシコウリウ104,43.643943,141.889036,2389 
1437,北竜町,雨竜郡北竜町字和11-1,43.731426,141.879409,1724 
1438,沼田町,雨竜郡沼田町南1条3-6-53,43.80674,141.933817,2909 
1452,鷹栖町,上川郡鷹栖町南1条3丁目5番1号,43.843321,142.354382,6567 
1453,東神楽町,上川郡東神楽町南1条西1丁目3-2,43.696303,142.451571,10127 
1454,当麻町,上川郡当麻町3条東2丁目11-1,43.828201,142.508388,6319 
1455,比布町,上川郡比布町北町1-2-1,43.875021,142.477699,3520 
1456,愛別町,上川郡愛別町字本町179,43.906679,142.577822,2605 
1457,上川町,上川郡上川町南町180,43.847128,142.770459,3500 
1458,東川町,上川郡東川町東町1-16-1,43.698877,142.510128,8314 
1459,美瑛町,上川郡美瑛町本町4-6-1,43.588279,142.467055,9668 
1460,上富良野町,空知郡上富良野町大町2-2-11,43.455614,142.467112,10348 
1461,中富良野町,空知郡中富良野町本町9-1,43.405576,142.425034,4733 
1462,南富良野町,空知郡南富良野町字幾寅867,43.164088,142.568522,2376 
1463,占冠村,勇払郡占冠村字中央,42.979836,142.398526,1306 
1464,和寒町,上川郡和寒町字西町120,44.023119,142.413383,3192 
1465,剣淵町,上川郡剣淵町仲町37-1,44.095746,142.361007,2926 
1468,下川町,上川郡下川町幸町63,44.302576,142.635219,3126 
1469,美深町,中川郡美深町字西町18,44.480994,142.342963,4145 
1470,音威子府村,中川郡音威子府村字音威子府444-1,44.725096,142.262458,706 
1471,中川町,中川郡中川町字中川337,44.811488,142.071409,1528 
1472,幌加内町,雨竜郡幌加内町字幌加内4699,44.009812,142.153828,1370 
1481,増毛町,増毛郡増毛町弁天町3-61,43.856063,141.524978,3908 
1482,小平町,留萌郡小平町字小平町216,44.015141,141.662828,2994 
1483,苫前町,苫前郡苫前町字旭37-1,44.306086,141.652932,2936 
1484,羽幌町,苫前郡羽幌町南町1-1,44.36061,141.697249,6548 
1485,初山別村,苫前郡初山別村字初山別96-1,44.532149,141.766342,1080 
1486,遠別町,天塩郡遠別町字本町3-37,44.722462,141.792322,2520 
1487,天塩町,天塩郡天塩町新栄通8丁目,44.888121,141.745324,2950 
1511,猿払村,宗谷郡猿払村鬼志別西町172-1,45.33061,142.108945,2611 
1512,浜頓別町,枝幸郡浜頓別町中央南1,45.123716,142.35964,3448 
1513,中頓別町,枝幸郡中頓別町字中頓別172-6,44.96971,142.286705,1637 
1514,枝幸町,枝幸郡枝幸町本町916,44.9387,142.581405,7565 
1516,豊富町,天塩郡豊富町大通6丁目,45.102847,141.777508,3974 
